name,symbol,slug,infinite_supply,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,tvl_ratio,platform,self_reported_circulating_supply,self_reported_market_cap,minted_market_cap,tags,quote.USD.price,quote.USD.volume_24h,quote.USD.cex_volume_24h,quote.USD.dex_volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.slug,platform.name,platform.symbol,platform.token_address,Timestamp,id
BNB,BNB,bnb,False,134783442.16,134783442.16,134783442.16,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:10:00.000Z,,,,,78990475357.15,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.0547415266462,869068117.037231,846153233.6844215,22914883.35280936,-16.3839,0.10614639,2.21899243,-2.80038818,-10.48653152,-7.45434551,-7.10959225,78990475357.15047,3.6137,78990475357.15,,2026-06-20T08:10:00.000Z,,,,,,2026-06-20 13:41:58.563178,1839.0
BNB,BNB,bnb,False,134783442.16,134783442.16,134783443.0,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:41:00.000Z,,,,,79203817650.12,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",587.6375939122997,876642895.2624933,853933316.6764067,22709578.58608669,-15.7463,0.13187572,2.57778444,-2.51051022,-9.77027133,-7.26207817,-7.22436431,79203817650.12001,3.6184,79203818143.74,,2026-06-20T07:41:00.000Z,,,,,,2026-06-20 13:12:06.285560,1839.0
BNB,BNB,bnb,False,134783443.0,134783443.0,134783443.95,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:16:00.000Z,,,,,78972957235.79,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",585.9247655202522,874553304.5907383,852047147.7027216,22506156.88801705,-16.3506,0.41901399,2.1415112,-2.66450422,-9.98744196,-7.35422455,-7.5233936,78972957235.78728,3.6134,78972957792.42,,2026-06-20T07:16:00.000Z,,,,,,2026-06-20 12:47:28.770412,1839.0
BNB,BNB,bnb,False,134783443.0,134783443.0,134783443.0,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:38:00.000Z,,,,,79170268461.42,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",587.388678455296,878374523.9894522,855726706.7989614,22647817.19049101,-15.5396,0.22307558,2.40930486,-2.55875934,-9.77610212,-7.2575545,-7.29432694,79170268461.42471,3.6153,79170268461.42,,2026-06-20T07:38:00.000Z,,,,,,2026-06-20 13:08:53.515784,1839.0
BNB,BNB,bnb,False,134783441.38,134783441.38,134783442.16,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:14:00.000Z,,,,,78990111701.7,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.0520468460572,868440047.1150361,845505092.0566859,22934955.05835009,-16.4074,0.0256701,2.18964331,-2.78648003,-10.49273025,-7.39268173,-7.14412746,78990111701.70456,3.6136,78990112158.83,,2026-06-20T08:14:00.000Z,,,,,,2026-06-20 13:45:09.757032,1839.0
BNB,BNB,bnb,False,134783442.16,134783442.16,134783443.0,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T07:50:00.000Z,,,,,79117810205.06,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.9994781045735,874927925.9898695,852209204.3317271,22718721.65814226,-15.9043,-0.00350423,2.40283223,-2.67822819,-9.90462922,-7.36428847,-7.23468235,79117810205.05797,3.6129,79117810698.14,,2026-06-20T07:50:00.000Z,,,,,,2026-06-20 13:22:45.224567,1839.0
BNB,BNB,bnb,False,134783442.16,134783442.16,134783442.16,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:09:00.000Z,,,,,79023969227.7,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",586.3032429004675,870235667.2468532,847323878.3968042,22911788.85004896,-16.2232,0.09965152,2.21728448,-2.74481659,-10.45856886,-7.42216399,-7.07409126,79023969227.69559,3.6154,79023969227.7,,2026-06-20T08:09:00.000Z,,,,,,2026-06-20 13:40:54.255943,1839.0
BNB,BNB,bnb,False,134783444.68,134783444.68,134783445.31,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T06:15:00.000Z,,,,,78596630285.86,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",583.132672357948,870130082.5184295,847878185.2171378,22251897.30129144,-17.3668,-0.01111807,1.20424538,-2.88409892,-10.50421079,-7.53518795,-7.83024309,78596630285.85805,3.5949,78596630653.23,,2026-06-20T06:15:00.000Z,,,,,,2026-06-20 11:46:38.784385,
BNB,BNB,bnb,False,134783441.38,134783441.38,134783441.38,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:35:00.000Z,,,,,78936901999.03,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",585.6572676199802,868354494.6350753,845448369.7749735,22906124.86010199,-16.4279,-0.39907576,2.02369746,-2.95516136,-10.49754918,-7.74782798,-7.04883859,78936901999.02858,3.618,78936901999.03,,2026-06-20T08:35:00.000Z,,,,,,2026-06-20 14:06:32.196762,1839.0
BNB,BNB,bnb,False,134783440.37,134783440.37,134783441.38,2017-07-25T00:00:00.000Z,3280,4,2026-06-20T08:51:00.000Z,,,,,78918027600.85,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",585.5172370152366,868876088.6058981,845869606.4455793,23006482.16031854,-16.3855,-0.24290404,2.03707577,-3.04412908,-10.45885558,-7.97943358,-7.13345117,78918027600.8503,3.6153,78918028192.22,,2026-06-20T08:51:00.000Z,,,,,,2026-06-20 14:22:34.766108,1839.0
